title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
Vegemite,344000.0,oddments,Oddments,2014,0.0016913549766881103,0.002585066730792353,0.0021382108537402315
It's Got Old,119000.0,oddments,Oddments,2014,0.0016913549766881103,0.0008942527353613082,0.0012928038560247094
Work This Time,2800000.0,oddments,Oddments,2014,0.0016913549766881103,0.02104124083203078,0.011366297904359446
ABABCd,19000.0,oddments,Oddments,2014,0.0016913549766881103,0.000142779848503066,0.0009170674125955882
Sleepwalker,81000.0,oddments,Oddments,2014,0.0016913549766881103,0.0006086930383551761,0.0011500240075216432
Hot Wax,1500000.0,oddments,Oddments,2014,0.0016913549766881103,0.011272093302873633,0.006481724139780871
Crying,48000.0,oddments,Oddments,2014,0.0016913549766881103,0.00036070698569195625,0.0010260309811900333
Pipe-Dream,14000.0,oddments,Oddments,2014,0.0016913549766881103,0.0001052062041601539,0.0008982805904241321
Homeless Man in Adidas,56000.0,oddments,Oddments,2014,0.0016913549766881103,0.0004208248166406156,0.001056089896664363
Oddments,14000.0,oddments,Oddments,2014,0.0016913549766881103,0.0001052062041601539,0.0008982805904241321
I'm In Your Mind,402000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0030209210051701336,0.002356137990929122
I'm Not In Your Mind,242000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0018185643861969461,0.0017549596814425282
Cellophane,2300000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.01728387639773957,0.009487615687213841
I'm In Your Mind Fuzz,229000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0017208729109053746,0.0017061139437967426
Empty,153000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0011497535168931104,0.0014205542467906104
Hot Water,189000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0014202837561620777,0.001555819366425094
Am I in Heaven?,197000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.001480401587110737,0.0015858782818994237
Slow Jam 1,760000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.00571119394012264,0.0037012744584053753
Satan Speeds Up,646000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.004854514849104244,0.0032729349128961774
Her and I (Slow Jam 2),135000.0,mind_fuzz,I'm In Your Mind Fuzz,2014,0.0016913549766881103,0.0010144883972586268,0.0013529216869733686
The River,2400000.0,quarters,Quarters!,2015,0.0018604904743569214,0.018035349284597813,0.009947919879477367
Infinite Rise,123000.0,quarters,Quarters!,2015,0.0018604904743569214,0.0009243116508356378,0.0013924010625962796
God Is in the Rhythm,438000.0,quarters,Quarters!,2015,0.0018604904743569214,0.003291451244439101,0.002575970859398011
Lonely Steel Sheet Flyer,189000.0,quarters,Quarters!,2015,0.0018604904743569214,0.0014202837561620777,0.0016403871152594995
Sense,1000000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.007514728868582421,0.004687609671469671
Bone,330000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.002479860526632199,0.00217017550049456
Dirt,265000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.001991403150174342,0.0019259468122656315
Paper Mâché Dream Balloon,374000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.002810508596849826,0.0023354995356033737
Trapdoor,826000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.00620716604544908,0.004033828259903001
Cold Cadaver,153000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.0011497535168931104,0.001505121995625016
The Bitter Boogie,318000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.0023896837802092103,0.002125087127283066
N.G.R.I. (Bloodstain),121000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.0009092821930984731,0.0013848863337276973
Time = Fate,88000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.0006612961404352531,0.0012608933073960872
Time = $$$,166000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.001247444992184682,0.0015539677332708016
Most of What I Like,204000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.001533004689190814,0.0016967475817738675
Paper Mâché,118000.0,paper_mache,Paper Mâché Dream Balloon,2015,0.0018604904743569214,0.0008867380064927257,0.0013736142404248235
Robot Stop,2900000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.021792713718889023,0.01192996267853169
Big Fig Wasp,816000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.006132018756763256,0.004099615197468806
