title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
Iron Lung,3200000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.024047132379463747,0.015124383646993408
Gliese 710,232000.0,ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022,0.00620163491452307,0.0017434170975111217,0.003972526006017096
Timeland,12000.0,timeland,Made in Timeland,2022,0.00620163491452307,9.017674642298906e-05,0.00314590583047303
Smoke & Mirrors,8000.0,timeland,Made in Timeland,2022,0.00620163491452307,6.0117830948659375e-05,0.0031308763727358646
The Land Before Timeland,222000.0,laminated,Laminated Denim,2022,0.00620163491452307,0.0016682698088252975,0.003934952361674184
Hypertension,280000.0,laminated,Laminated Denim,2022,0.00620163491452307,0.002104124083203078,0.004152879498863074
Change,467000.0,changes,Changes,2022,0.00620163491452307,0.003509378381627991,0.004855506648075531
Hate Dancin',947000.0,changes,Changes,2022,0.00620163491452307,0.007116448238547553,0.006659041576535312
Astroturf,879000.0,changes,Changes,2022,0.00620163491452307,0.006605446675483948,0.006403540795003509
No Body,233000.0,changes,Changes,2022,0.00620163491452307,0.0017509318263797043,0.003976283370451387
Gondii,290000.0,changes,Changes,2022,0.00620163491452307,0.002179271371888902,0.004190453143205986
Exploding Suns,186000.0,changes,Changes,2022,0.00620163491452307,0.0013977395695563303,0.0037996872420397003
Short Change,119000.0,changes,Changes,2022,0.00620163491452307,0.0008942527353613082,0.0035479438249421892
Theia,170000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0012775039076590117,0.005289978139721809
The Silver Cord,509000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0038249969941084525,0.006563724682946529
Set,148000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0011121798725501984,0.005207316122167402
Chang’e,117000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0008792232776241433,0.005090837824704374
Gilgamesh,86000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0006462666826980882,0.004974359527241347
Swan Song,134000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0010069736683900445,0.005154713020087325
Extinction,92000.0,silver,The Silver Cord,2023,0.009302452371784606,0.0006913550559095828,0.004996903713847095
Mirage City,39000.0,b741,Flight b741,2024,0.01860490474356921,0.00029307442587471445,0.009448989584721963
Antarctica,29000.0,b741,Flight b741,2024,0.01860490474356921,0.00021792713718889021,0.009411415940379052
Raw Feel,26000.0,b741,Flight b741,2024,0.01860490474356921,0.00019538295058314296,0.009400143847076178
Field of Vision,59000.0,b741,Flight b741,2024,0.01860490474356921,0.00044336900324636286,0.009524136873407788
Hog Calling Contest,144000.0,b741,Flight b741,2024,0.01860490474356921,0.0010821209570758686,0.00984351285032254
Le Risque,812000.0,b741,Flight b741,2024,0.01860490474356921,0.006101959841288926,0.012353432292429068
Flight b741,24000.0,b741,Flight b741,2024,0.01860490474356921,0.00018035349284597813,0.009392629118207594
Sad Pilot,21000.0,b741,Flight b741,2024,0.01860490474356921,0.00015780930624023084,0.00938135702490472
Rats In The Sky,18000.0,b741,Flight b741,2024,0.01860490474356921,0.00013526511963448358,0.009370084931601847
Daily Blues,19000.0,b741,Flight b741,2024,0.01860490474356921,0.000142779848503066,0.009373842296036139
